Obs,FltNum,Origin,SchedArr,ActualArr,SchedET,ActualET,Delay,,
1,101,USN,14:55,14:48,240,234,-7,,
2,102,RSU,10:00,9:41,153,140,-19,,
3,103,PUS,19:00,19:11,240,240,11,,
4,104,TAE,23:52,2:41,232,238,169,,
5,105,TAE,5:16,5:18,231,234,2,,
6,106,PUS,19:00,18:54,75,59,-6,,
7,107,RSU,5:50,6:07,233,218,17,,
8,108,KWJ,12:30,12:33,240,247,3,,
9,109,RSU,15:55,15:54,245,249,-1,,
10,110,KUV,14:51,14:57,246,251,6,,
11,111,KUV,8:09,7:46,159,146,-23,,
12,112,KUV,22:04,0:43,244,252,159,,
13,113,CJU,8:15,8:01,125,115,-14,,
14,114,KUV,10:30,10:13,132,121,-17,,
15,115,KWJ,16:40,16:32,161,157,-8,,
16,116,CJU,21:58,21:50,238,237,-8,,
17,117,TAE,0:09,23:55,239,234,-14,,
18,118,KUV,15:58,15:34,82,67,-24,,
19,119,KWJ,5:20,5:23,235,239,3,,
20,120,USN,18:59,19:03,134,120,4,,
21,121,USN,19:58,19:59,248,254,1,,
22,122,RSU,10:45,10:23,160,147,-22,,
23,123,CJU,6:55,6:30,95,74,-25,,
24,124,KUV,9:21,9:09,141,136,-12,,
25,125,PUS,12:25,12:09,92,83,-16,,
26,126,CJU,13:43,13:30,143,134,-13,,
27,127,RSU,8:30,8:08,161,142,-22,,
28,128,RSU,15:00,15:06,94,104,6,,
29,129,RSU,8:59,8:59,132,135,0,,
30,130,KWJ,18:05,17:57,142,133,-8,,
31,131,TAE,18:44,18:35,136,113,-9,,
32,132,TAE,19:10,19:16,142,152,6,,
33,133,RSU,20:15,20:08,142,139,-7,,
34,134,TAE,21:53,21:39,138,130,-14,,
35,135,CJU,0:24,0:07,139,132,-17,,
36,136,USN,17:30,17:27,100,96,-3,,
37,137,TAE,9:09,9:08,109,110,-1,,
38,138,RSU,9:10,8:47,190,174,-23,,
39,139,KWJ,15:55,15:24,135,109,-31,,
40,140,PUS,9:15,9:16,131,140,1,,
41,141,USN,14:44,14:51,245,252,7,,
42,142,TAE,14:24,14:31,234,236,7,,
43,143,KWJ,12:27,12:23,237,239,-4,,
44,144,KWJ,17:05,17:14,149,149,9,,
45,145,RSU,15:59,15:44,133,119,-15,,
46,146,TAE,13:15,12:56,159,146,-19,,
47,147,KUV,20:39,20:55,144,158,16,,
48,148,KWJ,20:40,20:36,130,120,-4,,
49,149,TAE,7:14,7:21,134,147,7,,
50,150,PUS,11:05,11:07,67,78,2,,
51,151,RSU,9:13,8:37,98,68,-36,,
52,152,TAE,7:14,6:40,87,64,-34,,
53,153,CJU,20:43,20:33,128,126,-10,,
54,154,TAE,11:54,11:51,229,229,-3,,
55,155,KWJ,16:41,16:25,139,132,-16,,
56,156,RSU,14:59,14:52,235,236,-7,,
57,157,KUV,22:53,0:30,123,102,97,,
58,158,RSU,7:05,6:41,125,106,-24,,
59,159,PUS,14:49,14:56,229,232,7,,
60,160,RSU,19:03,20:45,158,140,102,,
