A,B
15,17
16,15
17,16
15,14
14,15
18,18
16,14
15,15
18,14
15,17
16,15
14,16
15,18
14,13
17,14
12,15
16,16
18,15
15,15
17,17
16,15
15,13
18,14
16,15
17,16
16,18
13,15
18,16
17,14
17,16
15,18
16,13
17,15
15,12
14,17
18,15
16,16
15,18
12,12
16,14
16,15
15,16
17,12
16,14
15,15
17,16
16,15
18,15
17,17
18,15
16,13
17,14
15,15
14,16
19,15
15,13
17,14
16,15
15,16
18,18
16,15
17,16
16,14
13,16
16,18
18,13
17,15
18,13
16,12
17,14
15,15
15,16
17,13
16,14
15,15
18,16
16,15
19,15
17,17
18,15
16,13
17,14
15,15
14,16
15,15
15,13
17,14
16,13
15,14
18,15
16,16
17,15
17,13
16,14
15,15
14,16
16,18
17,15
17,16
15,14
