Company,Time
A,15
A,16
A,17
A,15
A,14
A,18
A,16
A,15
A,18
A,15
A,16
A,14
A,15
A,14
A,17
A,12
A,16
A,18
A,15
A,17
A,16
A,15
A,18
A,16
A,17
A,16
A,13
A,18
A,17
A,17
A,15
A,16
A,17
A,15
A,14
A,18
A,16
A,15
A,12
A,16
A,16
A,15
A,17
A,16
A,15
A,17
A,16
A,18
A,17
A,18
A,16
A,17
A,15
A,14
A,19
A,15
A,17
A,16
A,15
A,18
A,16
A,17
A,16
A,13
A,16
A,18
A,17
A,18
A,16
A,17
A,15
A,15
A,17
A,16
A,15
A,18
A,16
A,19
A,17
A,18
A,16
A,17
A,15
A,14
A,15
A,15
A,17
A,16
A,15
A,18
A,16
A,17
A,17
A,16
A,15
A,14
A,16
A,17
A,17
A,15
B,17
B,15
B,16
B,14
B,15
B,18
B,14
B,15
B,14
B,17
B,15
B,16
B,18
B,13
B,14
B,15
B,16
B,15
B,15
B,17
B,15
B,13
B,14
B,15
B,16
B,18
B,15
B,16
B,14
B,16
B,18
B,13
B,15
B,12
B,17
B,15
B,16
B,18
B,12
B,14
B,15
B,16
B,12
B,14
B,15
B,16
B,15
B,15
B,17
B,15
B,13
B,14
B,15
B,16
B,15
B,13
B,14
B,15
B,16
B,18
B,15
B,16
B,14
B,16
B,18
B,13
B,15
B,13
B,12
B,14
B,15
B,16
B,13
B,14
B,15
B,16
B,15
B,15
B,17
B,15
B,13
B,14
B,15
B,16
B,15
B,13
B,14
B,13
B,14
B,15
B,16
B,15
B,13
B,14
B,15
B,16
B,18
B,15
B,16
B,14
