Household,Before ,After 
1,188,173
2,208,202
3,166,154
4,312,310
5,276,257
6,344,357
7,168,148
8,254,243
9,326,340
10,278,273
11,442,423
12,254,252
13,376,369
14,348,342
15,512,508
16,427,424
17,484,465
18,362,369
19,388,386
20,276,264
21,184,171
22,423,420
23,343,342
24,386,383
25,474,473
26,432,412
27,254,251
28,342,350
29,304,290
30,453,447
31,654,663
32,342,338
33,276,262
34,348,345
35,316,325
36,428,420
37,365,352
38,464,473
39,473,468
40,428,438
41,256,259
42,288,275
43,327,340
44,358,360
45,333,353
46,267,275
47,294,298
48,434,444
49,354,361
50,325,308
51,257,248
52,532,546
53,349,349
54,308,315
55,252,240
56,404,410
57,366,364
58,268,262
59,437,440
60,311,310
