Day,Sheets
Monday,575
Monday,479
Monday,597
Monday,728
Monday,465
Monday,465
Monday,737
Monday,615
Monday,430
Monday,581
Monday,430
Monday,430
Monday,536
Monday,213
Monday,241
Monday,416
Monday,348
Monday,547
Monday,364
Monday,288
Monday,720
Monday,466
Monday,510
Monday,286
Monday,418
Monday,517
Monday,327
Monday,556
Monday,410
Monday,456
Friday,370
Friday,983
Friday,517
Friday,256
Friday,726
Friday,215
Friday,572
Friday,30
Friday,188
Friday,569
Friday,705
Friday,563
Friday,491
Friday,445
Friday,150
Friday,340
Friday,405
Friday,784
Friday,606
Friday,79
Friday,601
Friday,424
Friday,351
Friday,673
Friday,778
Friday,753
Friday,310
Friday,443
Friday,603
Friday,764
