Coverage,Platform,Satisfaction
News,YouTube,65
News,YouTube,70
News,YouTube,59
News,YouTube,64
News,YouTube,62
News,YouTube,56
News,YouTube,67
News,YouTube,54
News,YouTube,73
Business,YouTube,58
Business,YouTube,56
Business,YouTube,64
Business,YouTube,65
Business,YouTube,68
Business,YouTube,63
Business,YouTube,64
Business,YouTube,70
Business,YouTube,67
Sports,YouTube,62
Sports,YouTube,66
Sports,YouTube,67
Sports,YouTube,71
Sports,YouTube,67
Sports,YouTube,74
Sports,YouTube,61
Sports,YouTube,64
Sports,YouTube,69
News,Netflix,54
News,Netflix,61
News,Netflix,59
News,Netflix,56
News,Netflix,70
News,Netflix,62
News,Netflix,63
News,Netflix,57
News,Netflix,68
Business,Netflix,50
Business,Netflix,55
Business,Netflix,60
Business,Netflix,59
Business,Netflix,57
Business,Netflix,66
Business,Netflix,61
Business,Netflix,53
Business,Netflix,56
Sports,Netflix,71
Sports,Netflix,64
Sports,Netflix,68
Sports,Netflix,66
Sports,Netflix,69
Sports,Netflix,58
Sports,Netflix,73
Sports,Netflix,72
Sports,Netflix,65
News,Tving,54
News,Tving,56
News,Tving,55
News,Tving,66
News,Tving,60
News,Tving,58
News,Tving,55
News,Tving,61
News,Tving,59
Business,Tving,67
Business,Tving,70
Business,Tving,75
Business,Tving,64
Business,Tving,63
Business,Tving,69
Business,Tving,71
Business,Tving,69
Business,Tving,56
Sports,Tving,64
Sports,Tving,57
Sports,Tving,61
Sports,Tving,69
Sports,Tving,56
Sports,Tving,60
Sports,Tving,67
Sports,Tving,64
Sports,Tving,72
