 광고비 ,매출액
4.93,159
3.71,149
0.97,90
37.58,1431.55
2.66,131
6.17,218.38
35.23,982.05
10.11,198.94
2.82,383.81
1.87,114
1.16,134
7.4,168
8.24,386.04
0.77,210.85
2.68,121
0.9,108
20.3,846.52
1.95,111
1.96,148
20.78,455.06
19.72,452.8
49.86,1244.93
6.3,635.39
8.32,262.52
0.51,166
2.9,125
4.78,722.23
0.48,108
41.71,1488.35
32.86,637.71
8.98,134
8.35,684.35
0.06,95
0.79,86
1.71,115
0.21,93
21.28,722.06
100.38,1726.37
1.6,188.93
11.73,274.03
11.48,536.57
1.1,125
13.02,165
75.73,1161.25
57.22,661.65
