House,Price,BldgArea,LandArea,Baths
1,505.5,201.7,1508.8,2.5
2,784.1,315.5,2272.4,3.5
3,649,261.5,1628.4,3.5
4,689.8,274.8,1867.6,3.5
5,709.8,278.7,2042.4,3
6,590.2,240.7,1913.6,2.5
7,643.3,274,1591.6,3
8,789.7,330.7,2060.8,3.5
9,683,261.1,2520.8,3
10,544.3,238.4,1766.4,2
11,822.8,334.2,2474.8,4
12,637.7,259.6,2125.2,3
13,618.7,275.4,1876.8,3
14,619.3,248,2088.4,3.5
15,490.5,196.3,1232.8,2.5
16,675.1,283,1821.6,3
17,710.4,299.8,1913.6,3.5
18,674.7,290.9,1784.8,4
19,663.6,265.4,2134.4,3
20,606.6,234.6,1858.4,3
21,758.9,311,1803.2,4.5
22,723.7,288.1,2070,3.5
23,621.8,253.4,1766.4,2.5
24,622.4,249.3,1987.2,3
25,631.3,240.7,1913.6,2.5
26,574,239.9,1591.6,3.5
27,863.8,328.6,2668,4
28,652.7,269,2005.6,2.5
29,844.2,332.5,2346,3.5
30,629.9,239.2,2217.2,3.5
