Spending,Time,Male,Age20,Age30,Age40
76.24,59.9,1,0,0,1
46.99,47.2,1,1,0,0
62.45,63,0,0,0,1
77.17,80.5,1,0,0,1
44.91,45.3,0,0,0,0
49.84,45.3,0,0,0,0
82.78,81.6,0,0,0,0
67.65,65.3,1,0,0,0
55.63,40.6,1,0,0,0
57.78,60.9,0,0,1,0
34.07,40.7,0,0,0,0
50.27,40.7,1,1,0,0
61.79,54.8,0,0,1,0
24.22,11.7,1,0,0,0
18.06,15.5,0,0,1,0
48.56,38.8,1,1,0,0
27.27,29.7,0,0,0,0
69.38,56.3,1,0,1,0
43.3,31.8,0,0,1,0
35.7,21.8,1,0,0,1
81.88,79.3,1,0,1,0
47.09,45.5,0,0,1,0
53.77,51.4,0,1,0,0
36.98,21.5,1,0,0,0
42.36,39.1,0,0,1,0
65.29,52.2,1,0,1,0
36.93,27,0,0,0,1
60.05,57.5,1,1,0,0
47.85,38,1,1,0,0
51.16,44.2,1,0,1,0
45.6,38,1,1,0,0
86.65,87,1,0,0,1
72.61,49.7,1,0,0,1
36.25,28.8,0,1,0,0
65.66,66.5,0,0,1,0
37.54,25.6,0,0,1,0
57.78,54.2,1,0,0,0
30.54,10.8,1,0,0,1
39.82,23.4,1,1,0,0
67.94,53.9,1,0,1,0
62.16,64.8,0,1,0,0
57.86,53.4,0,0,0,1
54.77,47.7,1,1,0,0
33.67,44,0,0,0,0
26.77,20.4,0,0,0,1
50.32,35.6,1,0,0,0
53.85,40.8,0,1,0,0
78.67,71.1,1,0,0,1
66.38,56.9,0,0,0,1
31.35,14.7,1,1,0,0
81.58,56.5,1,0,1,0
57.44,42.3,1,1,0,0
46.53,36.5,1,1,0,0
58.01,62.2,0,1,0,0
69.46,70.6,1,0,1,0
76.92,68.6,1,0,1,0
43.79,33.2,1,0,1,0
43.94,43.8,0,0,1,0
57.07,56.6,1,0,0,0
63.2,69.5,0,1,0,0
55.77,40.4,1,0,0,0
54.44,46.3,0,1,0,0
35.26,27.9,0,1,0,0
51.26,26.1,1,0,0,1
66.39,66.3,0,1,0,0
72.39,77.1,1,0,0,0
61.46,48.6,1,0,0,0
79.75,70.1,1,0,1,0
56.6,57.2,0,0,1,0
38.73,37.1,0,0,0,0
56.4,57.2,1,0,0,0
78.69,80.8,1,0,1,0
54.06,49.3,0,0,0,0
95.58,81.3,1,0,1,0
14.01,0,1,0,1,0
70.97,66.4,1,0,0,0
48.14,51.7,0,0,0,0
50.78,44,0,0,0,1
51.51,51.8,0,1,0,0
21.88,10.2,1,1,0,0
57.73,45.6,1,0,1,0
64.56,57.1,1,0,0,1
83,79.6,0,0,0,1
52.46,39.6,1,0,1,0
43.87,33.8,1,1,0,0
42.43,40,1,0,0,0
72.76,68.3,1,0,1,0
62.04,56.6,0,1,0,0
47.03,39.4,0,1,0,0
66.32,60.3,1,0,0,1
52.05,51.9,0,0,0,0
72.26,69.4,0,1,0,0
35.42,36,1,0,0,0
55.47,43.4,1,1,0,0
40.41,42.2,0,0,0,0
34.44,20.7,1,0,0,0
50.92,55.9,0,0,0,0
56.15,55.2,1,0,1,0
47.94,50.1,0,0,1,0
54.49,45.3,1,1,0,0
36.65,21.7,0,0,0,1
41.75,41.6,0,1,0,0
50.71,43.1,0,1,0,0
41.86,34,1,0,0,1
50.09,46.8,0,1,0,0
58.41,58.1,0,0,0,1
81.92,87.7,1,0,0,0
66.03,53.5,1,0,0,1
49.82,55.2,0,0,0,0
54.89,48.5,0,0,0,1
32.33,11.6,1,1,0,0
59.69,49.5,1,0,0,1
60.14,51.2,1,0,0,0
91.76,99.3,1,1,0,0
62.57,46.2,1,0,0,1
65.03,56,0,1,0,0
48.09,49.3,1,0,1,0
33.32,26.6,0,0,1,0
74.17,72.9,0,1,0,0
67.02,65,0,0,1,0
72.51,65.8,1,1,0,0
40.43,31.8,0,0,0,1
72.88,78.1,0,0,0,0
34.79,22,1,1,0,0
73.23,61.7,0,0,0,1
94.32,93.8,0,0,0,1
43.84,30.2,1,1,0,0
44.88,38.7,0,0,1,0
52.16,52,0,1,0,0
39.78,39.9,0,0,0,0
35.16,19,1,1,0,0
56.99,51.4,1,1,0,0
42.45,28.8,1,1,0,0
67.95,59.5,0,0,0,0
47.64,31.6,0,0,0,1
86.17,81,1,0,0,1
49.47,34.3,0,0,1,0
45.81,43.6,0,1,0,0
60.83,66.3,1,1,0,0
36.27,25.4,1,0,1,0
50.29,54.5,0,0,1,0
69.16,76.1,0,0,0,0
32.37,17.9,0,0,0,1
72.34,53.7,1,0,1,0
68.79,55.2,1,0,0,1
72.41,65.6,1,0,1,0
45.36,25.3,1,0,1,0
20.82,23.6,0,1,0,0
72.53,60.4,1,0,0,1
71.61,55.9,1,0,0,1
51.61,55,1,0,0,0
66.26,56.9,1,0,0,0
48.81,36.4,1,1,0,0
57.64,54.6,0,0,1,0
65.85,55.9,0,0,0,1
54.92,35.7,1,0,0,0
83.76,87.3,0,1,0,0
66.82,59.5,1,1,0,0
41.64,26.2,1,0,0,1
62.26,63.1,0,0,1,0
44.56,30.5,0,0,1,0
66.31,65.7,1,1,0,0
76.9,73.2,1,1,0,0
42.48,33.6,1,1,0,0
67.81,69.3,0,0,0,0
71.27,58.3,1,0,0,1
79.34,66.4,1,0,1,0
90.8,87.9,1,0,0,1
52.72,45.1,0,0,0,1
41.05,34.9,1,1,0,0
44.55,32.2,1,0,1,0
46.83,33.7,0,0,0,1
63.55,48.5,1,0,1,0
58.85,56.8,1,1,0,0
61.78,55.5,0,1,0,0
75.01,66.5,1,0,0,0
60.28,50.3,0,0,0,1
88.64,79.1,0,0,1,0
