City,Advertising,Sales
Seoul,62.48,548.24
Seoul,59.31,498.36
Seoul,63.24,564.25
Seoul,67.62,530.04
Seoul,58.83,525.88
Seoul,58.83,557.96
Seoul,67.9,539.67
Seoul,63.84,527.86
Seoul,57.65,510.26
Seoul,62.71,523.49
Seoul,57.68,477.4
Seoul,57.67,509.73
Seoul,61.21,504.8
Seoul,50.43,481.64
Seoul,51.38,458.49
Seoul,57.19,536.94
Seoul,54.94,479.01
Seoul,61.57,521.41
Seoul,55.46,513.57
Seoul,52.94,460.08
Seoul,67.33,561.19
Seoul,58.87,540.5
Seoul,60.34,489.54
Seoul,52.88,488.07
Seoul,57.28,511.59
Seoul,60.55,538.41
Seoul,54.25,466.49
Seoul,61.88,502.98
Seoul,57,515.42
Seoul,58.54,518.65
Busan,46.99,439.97
Busan,59.26,503.24
Busan,49.93,436.06
Busan,44.71,428.2
Busan,54.11,476.43
Busan,43.9,405.19
Busan,51.04,492.54
Busan,40.2,410.48
Busan,43.36,392.97
Busan,50.98,468.05
Busan,53.69,448.97
Busan,50.86,470.03
Busan,49.42,470.28
Busan,48.49,426.06
Busan,42.61,432.3
Busan,46.4,440.26
Busan,47.7,454.93
Busan,55.29,514.36
Busan,51.72,453.68
Busan,41.18,390.85
Busan,51.62,440.31
Busan,48.07,424.06
Busan,46.62,431.53
Busan,53.06,472.11
Busan,55.15,481.31
Busan,54.66,489.83
Busan,45.8,429.28
Busan,48.45,471.34
Busan,51.66,452.99
Busan,54.88,528.79
Daejeon,37.6,390.53
Daejeon,39.07,368.22
Daejeon,34.47,340.92
Daejeon,34.02,369.74
Daejeon,44.06,405.84
Daejeon,46.78,438.19
Daejeon,39.64,397.66
Daejeon,45.02,413.63
Daejeon,41.81,382.11
Daejeon,36.77,343.58
Daejeon,41.81,390.1
Daejeon,47.69,445.58
Daejeon,39.82,393.39
Daejeon,47.82,404.2
Daejeon,26.9,327.97
Daejeon,44.11,418.25
Daejeon,40.44,374.5
Daejeon,38.5,385.6
Daejeon,40.46,393.46
Daejeon,30.06,317.45
Daejeon,38.9,391.66
Daejeon,41.79,410.14
Daejeon,47.39,448.61
Daejeon,37.41,398.12
Daejeon,35.96,342.23
Daejeon,37.49,358.7
Daejeon,44.58,423.19
Daejeon,41.64,408.49
Daejeon,37.35,387.06
Daejeon,42.57,479.89
Daegu,35.49,373.84
Daegu,39.84,406.93
Daegu,31.49,361.53
Daegu,33.36,364.84
Daegu,33.04,343.89
Daegu,27.68,338.59
Daegu,36.48,351.95
Daegu,36.31,361.79
Daegu,35.03,350.42
Daegu,33.83,355.77
Daegu,27.92,370.91
Daegu,32.9,312.14
Daegu,33.29,365.16
Daegu,30.99,307.69
Daegu,34.19,346.53
Daegu,37.02,391.88
Daegu,44.43,408.44
Daegu,35.87,342.81
Daegu,36.29,352.13
Daegu,34.63,371.73
Daegu,25.41,297.42
Daegu,34.87,363.67
Daegu,35.3,362.42
Daegu,47.32,408.55
Daegu,34.04,398.07
Daegu,36.51,380.22
Daegu,34.83,318.63
Daegu,29.16,334.51
Daegu,40.71,375.33
Daegu,38.76,395.85
