City,Advertising,Sales,D1,D2,D3,AxD1,AxD2,AxD3
Seoul,62.48,548.24,1,0,0,62.48,0,0
Seoul,59.31,498.36,1,0,0,59.31,0,0
Seoul,63.24,564.25,1,0,0,63.24,0,0
Seoul,67.62,530.04,1,0,0,67.62,0,0
Seoul,58.83,525.88,1,0,0,58.83,0,0
Seoul,58.83,557.96,1,0,0,58.83,0,0
Seoul,67.9,539.67,1,0,0,67.9,0,0
Seoul,63.84,527.86,1,0,0,63.84,0,0
Seoul,57.65,510.26,1,0,0,57.65,0,0
Seoul,62.71,523.49,1,0,0,62.71,0,0
Seoul,57.68,477.4,1,0,0,57.68,0,0
Seoul,57.67,509.73,1,0,0,57.67,0,0
Seoul,61.21,504.8,1,0,0,61.21,0,0
Seoul,50.43,481.64,1,0,0,50.43,0,0
Seoul,51.38,458.49,1,0,0,51.38,0,0
Seoul,57.19,536.94,1,0,0,57.19,0,0
Seoul,54.94,479.01,1,0,0,54.94,0,0
Seoul,61.57,521.41,1,0,0,61.57,0,0
Seoul,55.46,513.57,1,0,0,55.46,0,0
Seoul,52.94,460.08,1,0,0,52.94,0,0
Seoul,67.33,561.19,1,0,0,67.33,0,0
Seoul,58.87,540.5,1,0,0,58.87,0,0
Seoul,60.34,489.54,1,0,0,60.34,0,0
Seoul,52.88,488.07,1,0,0,52.88,0,0
Seoul,57.28,511.59,1,0,0,57.28,0,0
Seoul,60.55,538.41,1,0,0,60.55,0,0
Seoul,54.25,466.49,1,0,0,54.25,0,0
Seoul,61.88,502.98,1,0,0,61.88,0,0
Seoul,57,515.42,1,0,0,57,0,0
Seoul,58.54,518.65,1,0,0,58.54,0,0
Busan,46.99,439.97,0,1,0,0,46.99,0
Busan,59.26,503.24,0,1,0,0,59.26,0
Busan,49.93,436.06,0,1,0,0,49.93,0
Busan,44.71,428.2,0,1,0,0,44.71,0
Busan,54.11,476.43,0,1,0,0,54.11,0
Busan,43.9,405.19,0,1,0,0,43.9,0
Busan,51.04,492.54,0,1,0,0,51.04,0
Busan,40.2,410.48,0,1,0,0,40.2,0
Busan,43.36,392.97,0,1,0,0,43.36,0
Busan,50.98,468.05,0,1,0,0,50.98,0
Busan,53.69,448.97,0,1,0,0,53.69,0
Busan,50.86,470.03,0,1,0,0,50.86,0
Busan,49.42,470.28,0,1,0,0,49.42,0
Busan,48.49,426.06,0,1,0,0,48.49,0
Busan,42.61,432.3,0,1,0,0,42.61,0
Busan,46.4,440.26,0,1,0,0,46.4,0
Busan,47.7,454.93,0,1,0,0,47.7,0
Busan,55.29,514.36,0,1,0,0,55.29,0
Busan,51.72,453.68,0,1,0,0,51.72,0
Busan,41.18,390.85,0,1,0,0,41.18,0
Busan,51.62,440.31,0,1,0,0,51.62,0
Busan,48.07,424.06,0,1,0,0,48.07,0
Busan,46.62,431.53,0,1,0,0,46.62,0
Busan,53.06,472.11,0,1,0,0,53.06,0
Busan,55.15,481.31,0,1,0,0,55.15,0
Busan,54.66,489.83,0,1,0,0,54.66,0
Busan,45.8,429.28,0,1,0,0,45.8,0
Busan,48.45,471.34,0,1,0,0,48.45,0
Busan,51.66,452.99,0,1,0,0,51.66,0
Busan,54.88,528.79,0,1,0,0,54.88,0
Daejeon,37.6,390.53,0,0,1,0,0,37.6
Daejeon,39.07,368.22,0,0,1,0,0,39.07
Daejeon,34.47,340.92,0,0,1,0,0,34.47
Daejeon,34.02,369.74,0,0,1,0,0,34.02
Daejeon,44.06,405.84,0,0,1,0,0,44.06
Daejeon,46.78,438.19,0,0,1,0,0,46.78
Daejeon,39.64,397.66,0,0,1,0,0,39.64
Daejeon,45.02,413.63,0,0,1,0,0,45.02
Daejeon,41.81,382.11,0,0,1,0,0,41.81
Daejeon,36.77,343.58,0,0,1,0,0,36.77
Daejeon,41.81,390.1,0,0,1,0,0,41.81
Daejeon,47.69,445.58,0,0,1,0,0,47.69
Daejeon,39.82,393.39,0,0,1,0,0,39.82
Daejeon,47.82,404.2,0,0,1,0,0,47.82
Daejeon,26.9,327.97,0,0,1,0,0,26.9
Daejeon,44.11,418.25,0,0,1,0,0,44.11
Daejeon,40.44,374.5,0,0,1,0,0,40.44
Daejeon,38.5,385.6,0,0,1,0,0,38.5
Daejeon,40.46,393.46,0,0,1,0,0,40.46
Daejeon,30.06,317.45,0,0,1,0,0,30.06
Daejeon,38.9,391.66,0,0,1,0,0,38.9
Daejeon,41.79,410.14,0,0,1,0,0,41.79
Daejeon,47.39,448.61,0,0,1,0,0,47.39
Daejeon,37.41,398.12,0,0,1,0,0,37.41
Daejeon,35.96,342.23,0,0,1,0,0,35.96
Daejeon,37.49,358.7,0,0,1,0,0,37.49
Daejeon,44.58,423.19,0,0,1,0,0,44.58
Daejeon,41.64,408.49,0,0,1,0,0,41.64
Daejeon,37.35,387.06,0,0,1,0,0,37.35
Daejeon,42.57,479.89,0,0,1,0,0,42.57
Daegu,35.49,373.84,0,0,0,0,0,0
Daegu,39.84,406.93,0,0,0,0,0,0
Daegu,31.49,361.53,0,0,0,0,0,0
Daegu,33.36,364.84,0,0,0,0,0,0
Daegu,33.04,343.89,0,0,0,0,0,0
Daegu,27.68,338.59,0,0,0,0,0,0
Daegu,36.48,351.95,0,0,0,0,0,0
Daegu,36.31,361.79,0,0,0,0,0,0
Daegu,35.03,350.42,0,0,0,0,0,0
