Employee,Salary,Years,YearsSq,Male,YearsXMale
1,48,1,1,0,0
2,50,1,1,0,0
3,52,1,1,1,1
4,54,1,1,1,1
5,56,2,4,0,0
6,59,5,25,0,0
7,59,2,4,1,2
8,59,2,4,1,2
9,59,4,16,1,4
10,60,7,49,0,0
11,65,3,9,0,0
12,65,4,16,0,0
13,67,3,9,1,3
14,70,4,16,1,4
15,78,4,16,1,4
16,86,10,100,0,0
17,88,10,100,1,10
18,89,7,49,1,7
19,90,14,196,0,0
20,95,10,100,1,10
21,95,15,225,0,0
22,96,15,225,1,15
23,97,10,100,1,10
24,100,14,196,1,14
25,102,13,169,1,13
26,110,13,169,1,13
27,115,25,625,1,25
28,118,34,1156,1,34
29,120,30,900,1,30
30,124,25,625,1,25
31,125,19,361,1,19
32,125,18,324,1,18
33,128,32,1024,1,32
34,130,19,361,1,19
35,130,20,400,1,20
36,130,18,324,1,18
37,131,20,400,1,20
38,134,32,1024,1,32
39,134,35,1225,1,35
40,90,14,196,0,0
41,95,10,100,1,10
42,95,15,225,0,0
43,96,15,225,1,15
44,97,10,100,1,10
45,100,14,196,1,14
46,102,13,169,1,13
47,110,13,169,1,13
48,115,25,625,1,25
49,118,34,1156,1,34
50,120,30,900,1,30
51,124,25,625,1,25
52,125,19,361,1,19
53,125,18,324,1,18
54,128,32,1024,1,32
55,130,19,361,1,19
56,130,20,400,1,20
57,130,18,324,1,18
58,131,20,400,1,20
59,134,32,1024,1,32
60,134,35,1225,1,35
