Company,ROA,ROE,TAT,DR,DER
Company A,2.43,11.1,18.46,441.67,0.9
Company B,3.09,9.95,29.46,239.43,0.9
Company C,2.22,6.86,28.62,249.36,0.69
Company D,5.76,23.19,23.47,326.09,1.43
Company E,1.6,5.64,25.64,289.98,1.42
Company F,3.53,10.64,32.25,210.1,1.17
Company G,4.26,15.56,24.4,309.78,0.81
Company H,3.86,5.5,70.74,41.36,0.81
Company I,4.09,6.44,64.38,55.32,0.32
Company J,2.73,10.68,24.41,309.59,0.64
Company K,2.03,4.5,42.53,135.12,0.59
Company L,1.96,8.92,18.48,441.19,1.07
Company M,3.25,7.96,40.42,147.41,1.19
Company N,2.01,10.28,17.46,472.78,1.25
Company O,2.28,3.65,63.71,56.96,0.12
Company P,4.51,7.5,63.52,57.44,0.8
Company Q,3.29,12.37,24.47,308.63,0.57
Company R,1.73,7.57,19.59,410.45,1.19
