ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
1,3,3,3,4,4,2,4,4,2,1,1,5
2,3,3,3,3,4,2,3,3,3,2,2,4
3,4,5,2,4,4,2,3,3,3,3,3,3
4,5,5,2,4,4,2,3,3,3,3,3,3
5,3,3,3,4,4,2,3,3,3,3,1,5
6,3,3,3,3,3,3,3,3,3,3,3,3
7,5,5,1,3,3,3,3,3,3,3,3,3
8,1,1,5,4,4,3,3,3,4,3,3,3
9,3,4,2,4,4,2,4,4,3,2,3,3
10,3,3,3,3,3,3,3,2,3,3,3,3
11,4,4,2,4,4,2,3,3,3,3,3,3
12,3,4,2,4,4,1,3,4,2,4,3,3
13,4,2,4,4,4,2,4,3,3,3,3,3
14,4,4,2,4,4,2,3,3,3,3,3,3
15,5,5,2,4,4,2,3,3,3,3,2,3
16,3,4,3,4,4,2,4,4,3,3,3,3
17,4,1,4,3,4,2,3,3,3,3,3,3
18,5,5,1,3,3,3,3,3,3,2,2,3
19,3,3,3,4,4,2,4,4,2,3,3,3
20,3,3,3,4,4,2,3,4,3,3,3,3
21,3,3,3,4,4,2,3,3,3,3,3,4
22,5,4,2,4,4,2,5,4,1,4,5,1
23,4,4,3,4,4,2,3,3,3,3,3,3
24,3,4,2,4,4,2,3,3,3,3,3,3
25,5,5,2,4,4,3,3,3,3,3,3,3
26,1,1,5,3,3,3,3,3,3,3,3,3
27,3,3,3,4,3,3,3,3,3,3,3,3
28,5,5,2,4,4,2,3,3,3,5,4,1
29,5,5,2,3,4,2,4,4,3,4,4,2
30,3,3,3,3,3,2,3,3,3,2,2,3
31,5,5,1,5,5,1,5,5,2,5,4,1
32,4,4,2,4,3,2,3,3,3,3,3,3
33,3,3,3,5,5,1,4,3,2,3,3,3
34,5,5,1,4,4,2,4,4,1,3,3,3
35,5,4,2,4,4,2,4,4,2,3,3,3
36,3,3,4,4,3,2,5,5,1,3,2,4
37,3,3,3,4,3,3,3,3,3,3,3,3
38,2,2,4,3,4,2,3,3,3,3,3,3
39,3,3,3,3,3,3,1,1,3,3,3,4
40,5,5,1,4,4,3,3,3,3,2,2,4
41,3,3,3,3,4,2,3,3,3,3,3,3
42,3,3,3,4,3,2,5,5,1,3,2,4
43,3,3,3,4,3,3,3,3,3,3,3,3
44,5,5,1,5,4,2,3,3,2,3,3,3
45,3,4,2,4,4,3,3,3,3,3,3,3
46,1,1,5,4,4,2,3,3,3,3,3,3
47,1,1,5,4,4,3,4,3,3,3,3,3
48,3,3,3,4,4,2,4,4,2,4,3,2
49,3,3,3,4,4,3,3,3,3,3,3,3
50,4,4,2,4,3,3,3,3,3,3,3,3
51,1,1,5,4,4,3,3,1,5,1,1,5
52,3,3,3,5,5,1,4,3,2,3,3,3
53,4,4,2,4,4,2,3,2,3,1,1,5
54,3,3,3,5,5,1,5,5,1,5,4,1
55,3,3,3,4,3,2,4,4,2,5,5,1
56,3,3,2,4,3,2,4,5,2,3,4,3
57,3,2,4,3,5,3,4,3,3,4,3,3
58,2,3,3,4,3,2,4,4,2,3,4,2
59,3,3,3,4,3,2,4,4,3,5,3,3
60,5,5,1,4,3,2,3,3,3,5,5,2
61,5,3,2,4,4,3,5,5,1,1,1,5
62,5,5,1,5,5,1,3,3,3,2,3,3
63,5,5,2,4,4,3,3,3,3,2,2,3
64,3,3,3,4,4,2,3,3,3,3,3,3
65,3,3,3,4,4,2,3,3,3,3,3,3
66,3,3,3,4,4,2,3,3,3,3,3,3
67,2,3,3,5,5,2,4,4,3,4,3,3
68,3,2,4,4,4,2,4,4,2,2,2,3
69,4,4,2,4,4,2,3,3,3,3,3,3
70,3,3,3,4,4,2,3,3,3,3,3,4
71,3,2,4,4,4,2,3,3,3,3,1,3
72,3,3,2,5,5,2,3,2,4,3,3,3
73,4,4,2,4,4,2,3,3,4,2,2,3
74,2,2,4,4,4,2,3,3,4,2,2,3
75,4,4,2,4,4,2,3,3,3,3,3,3
76,4,4,2,5,4,2,4,3,2,1,2,4
77,3,3,2,5,5,1,4,3,3,1,1,5
78,5,4,2,5,5,2,4,4,3,4,3,3
79,5,5,1,4,4,2,3,3,3,2,2,3
80,5,5,1,4,3,2,4,3,2,3,3,3
81,3,3,3,4,3,2,4,3,3,4,3,3
82,5,5,1,4,4,2,3,3,3,3,3,3
83,5,5,1,4,4,2,4,3,3,3,3,3
84,5,5,2,4,4,2,3,3,3,3,3,3
85,3,3,2,4,4,2,3,3,3,3,3,3
86,2,3,3,4,4,2,3,3,3,2,2,3
87,5,5,1,4,4,2,3,3,4,2,2,3
88,3,3,1,4,4,1,2,2,3,4,3,3
89,1,1,5,4,4,2,4,4,2,1,1,5
90,2,2,4,3,3,3,1,1,4,3,3,4
91,3,3,3,5,4,2,3,3,3,3,3,3
92,4,4,2,4,3,4,3,3,3,3,1,4
93,3,3,4,4,4,2,2,3,3,1,1,4
94,4,4,2,4,4,1,4,4,3,3,4,1
95,5,5,1,4,4,3,4,4,2,3,3,4
96,4,4,2,4,4,2,4,4,3,3,3,3
97,5,5,1,4,4,1,4,4,3,3,4,1
98,1,1,5,4,4,3,3,2,4,4,4,2
99,5,5,1,4,3,4,3,3,3,3,1,4
100,4,2,3,3,3,3,3,3,3,3,3,3
101,5,5,1,3,3,3,3,3,3,3,3,3
102,5,5,1,3,3,3,3,3,3,3,3,3
103,4,3,3,3,3,3,3,3,3,3,3,3
104,3,3,3,3,2,3,3,3,3,1,1,3
105,3,3,3,3,4,3,3,3,3,2,3,4
106,5,5,1,4,5,2,5,5,2,3,3,3
107,5,3,1,4,4,3,3,3,4,3,2,3
108,3,3,3,5,4,2,5,3,3,3,2,3
109,5,5,1,4,4,1,4,4,3,3,4,1
110,5,5,1,4,4,2,4,4,2,2,2,3
111,4,3,3,4,4,3,4,3,1,4,4,2
112,5,5,1,3,3,3,3,3,4,3,3,3
113,2,2,5,4,4,2,4,4,3,3,3,2
114,3,3,3,4,4,2,3,3,3,3,3,3
115,5,5,1,4,4,2,3,3,3,2,2,3
116,3,3,3,4,4,3,5,5,1,1,1,5
117,5,4,2,5,5,1,1,1,5,1,2,3
118,4,3,2,3,3,3,3,3,3,3,3,3
119,3,3,3,3,3,3,3,3,3,2,2,3
120,3,3,3,5,4,2,3,3,3,3,3,3
121,2,2,3,3,4,3,3,3,3,3,3,3
122,5,5,2,4,4,3,3,3,3,3,3,3
123,3,3,3,5,5,1,3,4,3,3,1,3
124,5,4,2,4,3,3,3,3,3,3,3,3
125,4,3,2,3,4,2,2,2,3,3,4,3
126,4,4,2,4,3,2,3,3,3,3,3,3
127,2,3,3,4,4,3,3,3,3,3,3,3
128,1,2,4,5,4,1,1,2,5,3,3,3
129,2,1,4,4,3,2,5,5,2,3,2,4
130,3,3,3,4,4,2,3,3,3,3,1,3
131,5,5,2,4,3,3,3,3,3,3,3,3
132,4,4,2,4,4,2,3,3,3,3,1,3
133,4,4,2,4,4,2,3,3,3,3,3,3
134,5,5,1,5,5,2,3,2,4,3,3,3
135,3,3,4,4,4,3,3,3,3,2,2,4
136,5,5,1,4,4,2,2,2,3,4,2,3
137,4,4,2,3,3,3,3,3,3,3,3,3
138,3,3,3,4,3,3,3,3,3,3,3,1
139,2,2,4,4,4,2,3,3,3,3,3,3
140,2,2,4,4,4,2,3,1,5,1,1,4
141,3,2,3,4,3,3,3,3,3,3,3,3
142,3,3,3,4,3,3,3,3,3,1,1,3
143,1,1,4,4,3,3,3,2,3,1,1,3
144,1,1,5,2,3,3,2,2,3,5,5,3
145,2,1,4,4,3,3,3,3,3,3,3,3
146,5,5,2,3,3,3,5,4,1,1,1,4
147,5,5,1,4,4,2,3,3,3,3,3,3
148,5,4,2,5,4,1,2,2,5,1,2,3
149,5,4,2,4,4,2,3,3,3,5,4,1
150,3,3,3,4,4,2,4,5,3,4,5,3
151,3,3,3,3,4,3,3,3,3,3,3,3
152,4,3,3,4,3,2,3,3,2,1,1,3
153,5,4,2,4,4,3,3,2,4,4,4,2
154,5,5,1,4,4,2,4,4,2,4,3,2
155,5,4,2,4,4,2,3,4,3,3,3,3
156,3,3,3,4,4,2,3,3,3,3,3,4
157,5,5,1,4,4,2,4,4,2,4,3,2
158,5,5,1,4,4,2,5,5,2,4,4,2
159,4,4,2,4,4,2,3,3,3,3,3,3
160,4,4,2,4,4,2,3,3,3,3,3,3
161,3,3,2,4,4,3,3,3,3,3,3,3
162,1,1,5,4,4,2,3,1,5,1,1,4
163,1,1,5,4,4,2,3,3,3,3,2,5
164,4,3,2,4,4,2,3,3,3,3,3,3
165,5,3,2,4,4,2,3,3,3,4,3,2
166,5,5,2,2,2,2,3,3,3,3,3,3
167,3,3,3,5,5,1,3,3,3,3,3,3
168,4,4,2,4,4,2,3,3,3,2,3,3
169,5,5,1,4,4,2,3,3,4,3,3,3
170,3,3,3,3,3,2,3,3,3,1,1,5
171,4,4,2,4,4,2,4,4,2,3,3,3
