Fat%,Height,Neck,Chest,Waist
10.3,1751,355,957,720
14.1,1851,394,1031,846
22.6,1781,397,1126,946
13.5,1838,394,1171,882
10.8,1915,392,1045,807
11.3,1729,368,989,799
15.3,1639,365,1063,826
11.7,1769,382,973,776
16.7,1751,395,1047,770
16.1,1736,374,1064,815
17,1850,390,1001,845
11.9,1670,400,1030,767
17,1729,373,957,802
13.5,1718,400,934,740
12.1,1835,393,1090,851
13,1724,405,1011,764
9.9,1645,364,895,715
13,1786,393,1059,835
23.5,1764,410,1089,978
12.3,1686,360,910,725
14.4,1765,387,970,769
10.4,1764,371,965,754
18.5,1751,410,1018,866
13.6,1766,373,1004,766
18.5,1730,395,1053,855
25.2,1794,425,1164,1022
13,1724,362,975,728
22.2,1757,385,1023,821
15.5,1755,356,911,731
13.4,1699,340,960,685
18.6,1678,370,1005,788
12.1,1804,360,971,775
15,1722,370,1021,785
15.3,1777,392,1015,871
9.3,1750,372,1050,788
12.8,1773,372,1065,775
6.8,1818,393,998,755
21,1778,415,1111,955
14.3,1786,372,1010,813
12.8,1770,372,1038,786
11.7,1765,385,1052,821
27.8,1720,364,915,740
21.8,1657,335,878,712
17.8,1736,373,961,790
24,1626,348,872,755
21.4,1740,397,995,850
10.3,1738,350,915,675
17.6,1707,334,852,680
10,1754,355,908,686
9.6,1852,343,900,671
11.2,1615,324,840,673
18,1735,357,1004,797
20.2,1718,370,972,846
34.3,1679,380,1055,896
14,1730,363,955,755
9,1721,355,915,700
27.5,1736,389,1015,915
16.4,1714,365,960,745
8.8,1710,334,850,694
24.7,1754,390,1049,856
10.4,1795,334,856,651
12.2,1690,335,856,682
14.1,1614,340,920,732
23.5,1755,375,993,825
8.7,1756,331,840,667
13,1749,330,847,723
29.8,1811,400,1130,1018
16.6,1756,375,958,831
16.1,1711,370,909,800
17.1,1724,365,983,785
16.1,1710,345,857,679
20.6,1700,345,905,730
12.5,1726,343,860,694
11,1651,335,810,640
13.1,1711,348,867,705
22.1,1725,370,1021,892
20,1828,365,911,785
14.9,1726,352,786,697
9.7,1710,342,830,667
17.6,1644,360,905,726
11.2,1750,338,835,650
10.1,1746,337,850,682
10.1,1661,325,940,659
19.9,1730,380,970,862
20.2,1740,353,913,783
8,1706,349,874,698
12.5,1770,340,850,725
12.4,1627,300,815,627
28.3,1770,400,1005,960
46,1683,330,835,673
23.5,1630,357,980,825
8.4,1643,335,880,686
17.8,1805,375,961,790
13.6,1789,395,985,785
10.5,1790,348,860,710
14.3,1697,337,870,710
16.4,1627,343,846,668
7.9,1706,355,845,705
13.6,1808,380,950,812
23.1,1783,365,990,840
21.1,1801,375,998,830
4.6,1830,375,940,740
15,1745,360,910,735
21.4,1717,377,985,860
11.9,1760,337,900,690
20.8,1725,390,975,835
13.4,1702,335,905,692
13.4,1750,360,900,710
19.2,1678,363,910,717
16.9,1696,355,915,725
11.1,1788,345,885,685
8.6,1705,343,860,625
13.2,1744,340,870,660
16.3,1739,355,901,780
12.7,1610,320,798,655
25,1851,415,1057,985
12.2,1690,335,820,680
10.2,1805,360,900,733
4.7,1725,364,1025,712
17.9,1767,367,902,770
10.5,1685,348,857,680
11.4,1735,360,877,680
9.5,1745,327,810,640
11.3,1715,365,955,695
19.5,1694,345,865,748
10.5,1730,350,890,685
3,1865,358,953,692
3.7,1744,308,876,645
18.9,1744,369,958,767
8,1846,356,860,710
9.7,1607,316,783,620
5.2,1795,340,935,680
9.1,1735,345,960,730
16.9,1733,354,920,803
23.1,1644,421,1043,924
21.5,1704,353,910,840
28.5,1601,384,985,924
19.7,1713,407,1018,910
24.1,1721,408,1031,908
22,1714,364,954,835
24.4,1731,380,950,845
33.7,1730,422,1080,1028
28.6,1799,375,1035,935
18.3,1533,338,900,805
20.1,1709,382,990,910
22.1,1706,385,930,850
12.2,1580,314,845,655
6.7,1677,340,910,718
13.3,1751,360,893,716
23.1,1685,374,930,868
19.6,1722,370,939,820
14.5,1657,354,859,674
18.9,1688,360,940,810
21,1721,385,1005,832
21.3,1619,375,966,886
21.1,1635,340,892,706
16.3,1715,340,854,690
26.7,1642,354,920,805
26.3,1623,372,991,892
14.3,1763,350,850,726
13.1,1707,380,1000,770
16,1714,345,860,743
25.3,1667,378,935,835
21.3,1810,378,1009,850
14.9,1670,376,925,845
17.9,1722,395,1008,840
18.4,1620,385,976,852
24.5,1740,370,980,890
21.6,1787,400,1015,880
25.1,1696,354,915,824
9.5,1720,325,820,626
17.8,1724,326,857,687
11.1,1760,344,864,701
12.1,1745,337,862,700
24.8,1664,410,1056,939
10.4,1750,350,910,705
16.3,1768,372,908,818
16.1,1755,354,970,753
3,1731,340,869,666
3,1870,354,863,690
23.2,1700,363,955,818
16.8,1676,355,970,860
17.1,1708,360,912,727
26.9,1716,373,980,863
21.1,1622,344,879,774
28.9,1655,403,978,945
30.8,1636,414,1040,954
26.9,1677,385,1015,885
8.7,1701,360,885,680
21.6,1702,390,978,880
15.8,1670,370,934,786
13.4,1756,347,910,708
12.4,1645,347,868,743
14.4,1685,360,910,773
4.1,1701,351,896,676
36.2,1820,405,1130,1060
12.5,1635,324,790,656
29.6,1561,365,905,841
13,1685,330,835,630
